title,company,url
AI Agent 개발 테크 리더(차장-이사급),메타넷디지털㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48379326?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=49&sc=630
(재)씨젠의료재단 네트워크운영 / 엔드포인트보안 전문인력채용,(재)씨젠의료재단,https://www.jobkorea.co.kr/Recruit/GI_Read/48484657?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=50&sc=630
AIR 부문 AI 전문 Engineer 채용 (경력),메가존클라우드㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48508143?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=51&sc=630
2026년 미국 Battery Tech Conference 채용전형 모집,LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48467357?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=52&sc=630
[도이치모터스㈜] AX실 경력 채용,도이치모터스㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48465310?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=53&sc=630
[잡코리아헤드헌팅] Samsung 에스원 - AI엔지니어(AI Agent),잡코리아 헤드헌터,https://www.jobkorea.co.kr/Recruit/GI_Read/48456326?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=54&sc=630
AI Platform 엔지니어 모집 공고,인포그랩 유한회사,https://www.jobkorea.co.kr/Recruit/GI_Read/48452408?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=55&sc=630
AI DevOps PM(컨설턴트) 모집 공고,인포그랩 유한회사,https://www.jobkorea.co.kr/Recruit/GI_Read/48452222?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=56&sc=630
"[비비디글로벌] Java, React.js 개발자 모집(경력)",비비디글로벌㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48289449?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=57&sc=630
"[정규직] 밥게이트 AI 번역 엔진 IT 기획자 (LLM, AI Agent)",㈜밥게이트,https://www.jobkorea.co.kr/Recruit/GI_Read/48414777?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=58&sc=630
