,채용제목,회사,근무지,경력,학력,고용형태,상세url,상세게시글id,주요업무,자격요건,우대사항,채용절차,복지 및 혜택,급여,스킬,업종
242,(주)면사랑 업무혁신팀 AI 기획·활용 담당자 채용(경력),㈜면사랑,서울특별시 강서구 하늘길 260,2년,,계약직(정규직 전환 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/48401879?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=240&sc=630,48401879,ㆍAI 기반 무인기 임무 수행 알고리즘 개발 ㆍ무인기 군집 운용 지능형 SW 설계/검증 ㆍ데이터 기반 학습 모델 및 성능 최적화 연구,"무인기 AI 연구/개발 담당업무 ㆍAI 기반 무인기 임무 수행 알고리즘 개발 ㆍ무인기 군집 운용 지능형 SW 설계/검증 ㆍ데이터 기반 학습 모델 및 성능 최적화 연구 자격요건 ㆍAI 유관 전공(AI, 컴퓨터공학, S/W, 데이터 등) 석사 학위 이상 보유자 또는 AI 관련 분야 (AI, 자율비행, 딥러닝 등) 연구개발 경력 2년 이상 보유자","ㆍC/C++, C#(WPF), Python, Java 활용 능력 ㆍ딥러닝/AI 기반 통신 응용 프로젝트 개발 경험 ㆍAI 응용 프로젝트 개발 경험 ㆍ분산처리 및 클라우드 환경 개발 경험 공통사항 ㆍ지원서 제출시점에 기졸업자 또는 졸업예정학기 이수중이며, 최종합격 후 지정된 입사일에 정상 출근 가능한 분 ㆍ해외여행에 결격사유가 없는 분으로, 남자의 경우 병역필 또는 면제자 ㆍ어학능력 우수자 우대(TOEIC/TEPS/TOEIC Speaking/OPIc) 기타사항 ㆍ",,,회사 내규에 따름,,항공 여객 운송업
243,[대웅] 웰다 AI 파트장 채용,㈜대웅제약,경기 성남시 분당구 판교역로 152  13층,5년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48468005?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=223&sc=630,48468005,ㆍ 모빌리티 및 물류 서비스의 비즈니스 목표를 달성 또는 문제 해결을 위한 다양한 OR/RL/ML 프로젝트 수행 ㆍ 머신러닝 모델의 개발-서빙-모니터링 파이프라인 설계 및 구축 ㆍML/DL 학습 및 추론 워크플로우 자동화를 위한 MLOps 파이프라인 개발,"MLOps 엔지니어 ( ○명 ) 담당업무 ㆍ 모빌리티 및 물류 서비스의 비즈니스 목표를 달성 또는 문제 해결을 위한 다양한 OR/RL/ML 프로젝트 수행 ㆍ 머신러닝 모델의 개발-서빙-모니터링 파이프라인 설계 및 구축 ㆍML/DL 학습 및 추론 워크플로우 자동화를 위한 MLOps 파이프라인 개발 자격요건 ㆍ관련 경력 5년 이상이신 분 ㆍ Python, Java, Kotlin, Kubernetes, GCP, Airflow, CI/CD 등 개발 환경에 익숙하신 분 ㆍ MLOps 파이프라인 개발 및 운영 경험이 있으신 분 ㆍ 데이터 파이프라인 설계 및 ETL 개발 경험이 있으신 분","ㆍ 물류, 배차, 모빌리티, 라이드헤일링 등 도메인 관련 경험이 있으신 분 ㆍ 대규모 트레이닝/서빙 환경에서 리소스 및 성능 최적화 경험이 있으신 분",ㆍ 서류 → 1차 인터뷰 → 2차 인터뷰 → 처우 협의 ㆍ면접일정은 추후 통보됩니다.,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 이",회사 내규에 따름 (면접 후 결정),"GCP, JAVA, Kotlin, kubernetes, Pytorch, Airflow, ETL, MLOps, CI/CD",데이터베이스 및 온라인정보 제공업
244,에프앤가이드 AI팀 AI 개발 담당자 모집,㈜에프앤가이드,,상시,대졸이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/48354939?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=230&sc=630,48354939,"ㆍ Cost절감/Profit 극대화/공급망 최적화를 위한 시계열 예측 및 최적화 기술 개발 ㆍTabular, Signal Domain에서의 최신 AI 기법을 활용한 Prediction/Estimation 모형 개발 ㆍ설계 변수, 공정 변수, Sensor Signal을 활용한 AI Solution 개발 ㆍ여러 배터리 모델에서 모두 동작 가능하도록 Foundation model, Domain Adaptation 기술 개발","《 CDO/AI/빅데이터그룹 》 AI기술개발 담당업무 ㆍ Cost절감/Profit 극대화/공급망 최적화를 위한 시계열 예측 및 최적화 기술 개발 ㆍTabular, Signal Domain에서의 최신 AI 기법을 활용한 Prediction/Estimation 모형 개발 ㆍ설계 변수, 공정 변수, Sensor Signal을 활용한 AI Solution 개발 ㆍ여러 배터리 모델에서 모두 동작 가능하도록 Foundation model, Domain Adaptation 기술 개발 자격요건 ㆍ전공 : 산업공학/AI/데이터융합/통계/빅데이터 관련 전공 ㆍ AI관련 연구로 석/박사 학위자 ㆍDeep Learning 모형에 대한 이해 ㆍPython 프로그래밍 경험, AI Toolkit 사용 경험 ㆍPytorch, Tensorflow 등 딥러닝 프레임워크 경험",ㆍ Top-tier AI conference 논문 제출 경험 ㆍMultimodal 데이터를 활용한 DL/ML 모형개발 경험,,,회사 내규에 따름,,축전지 제조업
245,[CDO] AI/빅데이터 연구개발 경력 상시 모집 - AI기술개발,LG에너지솔루션,경기 성남시 분당구 정자일로 248  17층,ㆍAI,대졸이상,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48441290?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=229&sc=630,48441290,] ㆍ신규 사업을 위한 AI 알고리즘 개발 [,"] ㆍDeep learning framework ( Tensorflow, Pytorch )을 통한 알고리즘 연구 개발 역량 필수 ㆍ단순히 논문 따라 모델을 돌리는 수준을 넘어서, 문제에 맞는 AI 구조를 정의하고 개선해나갈 수 있는 역량 ㆍ알고리즘을 잘 구현하면서도, SW 제품과 연결되는 전체 흐름을 이해하고 협업할 수 있는 사람 ㆍ다양한 Edge 환경(SOC 등)에 맞춰 AI 모델을 최적화 및 경량화하고, 제품 적용을 위한 API/SDK 형태로 모듈화한 경험자. ㆍComputer Science, Software Engineering 분야 학위소지자 ㆍImage processing / Pattern recognition / Computer vision 분야 석사/박사 학위 소지자 [","] ㆍ각종 challenge, competition 입상 경력 ㆍAI 개발 경험 및 지식보유 ㆍ소프트웨어 엔지니어 역량 : C/C++, CUDA / ONNX / TensorRT 등 고성능 연산 환경 경험, MLOps 등에 경험 ㆍ최신 논문 및 기술을 빠르게 습득하고 필드 상황에 맞게 알고리즘을 수정 및 개선해 본 경험 AI솔루션 개발실 [팀 소개] (영상 분석 AI 알고리즘 개발 / 성능 검증을 위한 전문 QA) 우리 부서의 주요 역할은 제품의 핵심 알고리즘을 개발 검증하는 것이며 아래와 같이 크게 2개의 part로 역할이 나누어져 있습니다. ㆍ영상 분석 AI 알고리즘 개발 - 인공지능 기반 알고리즘 설계 및 개발 (Computer Vision / Pattern Recognition / Anomaly Detection 등) - 모델의 학습, 평가 및 성능 최적화 전반 주도 - 최신 연구 동향 반영한 알고리즘 기획 및 검증 - 기존 모델을 단순 실행하는 수준을 넘어서 모델 구조 개선, 알고리즘 튜닝, 파이프라인 설계 가능 - AI 시스템의 전체 플로우에 대한 이해를 바탕으로 SW 모듈화 및 통합 개발 - 개발된 알고리즘의 제품화 연계 및 PoC 지원 ㆍ 성능 검증을 위한 전문 QA - 데이터 수집 및 검증 [팀 구성] 알고리즘 개발자,QA인력으로 구성되어 있으며 각자의 역량에 맞는 업무 분담과 역량을 키울 수 있는 미션을 수행하여 업무의 효율화와 더불어 개인의 발전을 하기 위해 고민하고 집중하고 있습니다. 모두의 지식을 서로 공유하여 모두가 성정할 수 있도록 서로가 적극적으로 지식 공유를 하고 있습니다. [우리 부서는 이렇게 일해요!] ㆍ 프로젝트 중심으로 일합니다. PL을 중심으로 프로젝트 구성원들이 목표 달성을 위해 같이 노력하고 프로젝트의 성과에 따라 공정하게 평가받습니다. ㆍ 서로 도우면서 일 합니다. 서로 소통하면서 돕는 것이 부서의 제1원칙입니다. ㆍ 주 1회 부서 전체 미팅을 진행 하고 공유합니다. 업무 계획과 성과 관리를 도와주는 R&D 프로젝트 관리 시스템을 전사적으로 갖추고 있고 이를 통해 개인 업무 관리와 프로젝트 성과 관리가 이루어집니다. ㆍ 지식 공유를 통한 모두의 성장을 목표로 업무를 수행합니다. 세계 최고를 목표로 도전적으로 목표를 설정하고 이를 달성하기 위해 치열하게 노력합니다. [","] 서류전형→인성검사→1차 면접→2차 면접→처우 협의 후 최종 합격 * 1차 면접 : 직무 PT 진행(자기소개 및 진행 프로젝트, 논문, 특허 등에 대한 소개) * 2차 면접 : 1차 면접 시 진행된 PPT 요약 (발표 형식 보다 질의 형식의 면접) * 서류 합격자에 한 해 개별 연락드릴 예정입니다. * 상황에 따라 추가 인터뷰, 평판 조회 전형이 추가될 수 있습니다. * 각 전형에서 허위 사실이나 부정행위 발견 시 즉시 영입 절차가 중단/취소될 수 있습니다. 슈프리마 채용 홈페이지 : 슈프리마 그룹 채용 (greetinghr.com) 슈프리마 홈페이지 : 슈프리마 | Security & Biometrics (supremainc.com) 슈프리마 블로그 : 슈프리마 뉴스, 슈프리마 : 네이버 블로그 (naver.com) 슈프리마 유튜브 : (1) Suprema - YouTube 지역 전체 회원가입/로그인 기업 서비스 JOB 찾기 합격축하금 공채정보 신입·인턴 기업·연봉 콘텐츠 취업톡톡 ㈜슈프리마 [슈프리마] AI 알고리즘 개발자 모집 🎲 사내 동호회 💵 성과급 📚 자기개발 지원 👦🏻 자녀양육비 🏦 사내대출 💸 장기근속 포상 🧧 명절선물/명절상여 🎓 자녀교육비 상세요강","연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 휴무·휴가·행사 연차제도, 경조휴가, 반차제도, 출산휴가, 육아휴직, 남성출산휴가, 보건휴가, 워크샵/MT, 공휴일 휴무, 자유로운 휴가문화 편의·여가·건강 사내 동호회, 건강검진, 심리상담, 음료/간식 제공 복리후생 더보기 관련 태그 잡아바 추천 TOP",회사 내규에 따름,,유선 통신장비 제조업
246,제조 AI Data Platform 전문가 영입,SK㈜ AX,,상시,대학원(석사)이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/48359164?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=222&sc=630,48359164,ㆍ 인공지능을 활용한 소재 물성 예측 및 스크리닝 알고리즘 연구 및 개발 ㆍ데이터 기반 소재 개발 프로세스 최적화 ㆍAI모델 개발 및 고도화를 통한 소재 개발 업무 효율성 향상 ㆍ소재 개발 관련 데이터 분석 및 인사이트 도출 및 Agentic AI 구축,"《 CDO/AI/빅데이터그룹 》 소재개발AI 담당업무 ㆍ 인공지능을 활용한 소재 물성 예측 및 스크리닝 알고리즘 연구 및 개발 ㆍ데이터 기반 소재 개발 프로세스 최적화 ㆍAI모델 개발 및 고도화를 통한 소재 개발 업무 효율성 향상 ㆍ소재 개발 관련 데이터 분석 및 인사이트 도출 및 Agentic AI 구축 자격요건 ㆍ전공 : 화학/소재공학, 컴퓨터공학 관련 전공 ㆍ 화학/소재공학, 컴퓨터공학 등 AI 관련 석사이상(박사","ㆍ AI기반 배터리 소재 물성예측 및 스크리닝 프로젝트 경험 보유 ㆍDL/ML 상급 역량 보유 ㆍPytorch, Keras 딥러닝 프레임워크 역량 보유 ㆍ새로운 ML/DL Architecture 및 알고리즘/방법론 설계 및 구현 역량 보유",,,회사 내규에 따름,,축전지 제조업
247,AI Developer 경력직 수시채용,신한DS,서울 강남구 봉은사로114길 12,3.,대졸이상,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48429103?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=232&sc=630,48429103,"] 1. AI 조직 리딩 및 기술 거버넌스 ? LLM, Data Science, Data Engineering 전 영역을 아우르는 AI 파트의 중·장기 기술 전략 및 실행 로드맵 수립 ? 서비스 우선순위·리소스·일정·기술 부채를 종합적으로 고려한 AI 프로젝트 포트폴리오 관리 ? 파트 구성원의 기술 성장 경로 정의 및 엔지니어/사이언티스트 육성 ? AI 파트의 기술적 의사결정 기준, 코드·모델·데이터 품질 기준, 리뷰 문화 정립 ? PM, 프로덕트, 개발, 디자인, 의료·영양 도메인 조직과의 기술 중심 협업 리딩 2. 서비스 중심 AI 아키텍처 및 기술 전략 ? 웰다 핵심 서비스(혈당 기반 코칭, 식습관 분석, 행동 변화 유도)를 위한 AI/ML/LLM 기반 서비스 아키텍처 설계 및 고도화 ? 챗봇, 추천, 예측, 개인화 모델을 단일 서비스 관점에서 통합하는 End-to-End AI 시스템 설계 ? 모델 성능 중심이 아닌 “서비스 성과(KPI) 중심”의 기술 전략 수립 ? 기술 선택(모델, 프레임워크, 인프라)에 대한 장기적 확장성과 운영 안정성 판단 3. LLM · 데이터 기반 AI 서비스 개발 리딩 ? LLM·RAG 기반 AI 건강 비서의 구조 설계 및 고도화 - 대화 흐름 설계, 사용자 컨텍스트 관리 - 개인화 로직, 상태 기반 추론, Proactive 메시징 전략 ? Data Science와 협업하여 - 혈당 반응 예측 - 식습관 및 행동 패턴 분석 - 사용자 세그먼트 기반 개인화 알고리즘 설계 ? Data Engineering과 협업하여 - 대규모 서비스 로그·센서 데이터 수집 체계 - 안정적인 ETL 파이프라인 - 데이터 품질·정합성·재현성 관리 체계 구축 4. 품질, 효과성, 신뢰성 기반 AI 운영 ? 사용자 목표 달성률, 리텐션, 행동 변화 지표, 혈당 개선 효과 등 AI 서비스 KPI 정의 및 개선 사이클 운영 ? 모델 성능과 서비스 지표 간의 인과 관계 분석 및 전략적 개선 ? 개인정보 보호, 보안, 데이터 거버넌스 정책의 기술적 구현 및 운영 ? AI 시스템의 안정성, 재현성, 설명 가능성 확보 [자 격요건] 1. 학사 이상 2. AI / ML / Data 분야에서 7년 이상의 실무 경력 3. AI 기술 조직(파트·팀·챕터) 리딩 경험 (기술 의사결정, 인력 구성, 성장 관리 포함) 4. LLM, ML 모델 또는 데이터 기반 서비스를 실제 프로덕션 환경에 설계·출시·운영한 경험 5. 아래 영역에 대한 Senior~Lead 수준의 기술 깊이 - LLM 시스템 설계 및 활용 - 머신러닝/통계 기반 모델링 - 데이터 플랫폼 및 파이프라인 아키텍처 6. 기술적 선택을 비즈니스 임팩트와 연결해 설명·설득한 경험 7. 다양한 직군과의 협업 속에서 기술적 기준을 세우고 조직을 리딩한 경험 [",,"] 1. 디지털 헬스케어, CGM, 웨어러블, 식단·영양 데이터 도메인 경험 2. 개인화 추천·코칭·행동 변화 서비스 설계 경험 3. 스타트업 또는 성장 단계 조직에서의 기술 리더 경험 4. MAU 1만 이상 서비스에서 AI 기능을 책임지고 운영한 경험 [",,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 편의·여가·건강 사내 동호회, 출퇴근 셔틀버스, 건강검진, 점심 식사 지원, 아침 식사 지원 사내제도·성장 사이버연수원운영 복리후생 더보기 이",회사 내규에 따름,,의약용 화합물 및 항생물질 제조업
248,[CDO] AI/빅데이터 연구개발 경력 상시 모집 - 비전AI기술개발,LG에너지솔루션,"대전 유성구 유성대로 1646  사이언스파크 402,403호",경력무관,학력무관,"정규직(수습 3개월, 협의가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48426840?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=239&sc=630,48426840,"] - 데이터 구조 설계 및 관리 - 데이터 품질 관리 및 정제 - 패턴 인식 및 진단 - 데이터 수집 및 학습 코드 생성 - 학습 모델 훈련 및 성능 평가 - 2D라벨링 툴 개발 및 활용 [근무조건] - 근무형태 : 정규직 (수습 3개월), 협의가능 - 근무시간 : 주 5일 (오전 9:30 ~ 오후 5:30), 점심시간(12:00~13:00), 근무부분 협의가능 - 급여수준 : 250만 원~ (경력에 따른 협의가능) [",,] ★ 마케팅분야 경험이 있으시면 우대가능합니다. (필요서류에 기재바랍니다.) [지원방법 및 추가정보] 필요서류 - 일자리허브 프로필 작성 (자기소개서 포함) - 포트폴리오 (소지자) - 기타 추가자료 가능 ** 주의 : 이력서 파일첨부시,,,회사 내규에 따름,JAVA,공기업·공공기관
249,[메이플스토리 월드] 게임 프로그래머 (AI 기반 플랫폼),㈜넥슨,서울 구로구 디지털로26길 38,2년,대학원(석사)이상,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48256843?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=227&sc=630,48256843,"ㆍAI 기반 광고 크리에이티브 자동 생성 - 생성형 AI (Diffusion, VLM, SORA-like Models 등) 기반 게임 마케팅용 광고소재(이미지, 배너, 숏폼영상) 자동생성 및 최적화 R&D ㆍ AI 기반 2D/3D 게임 애셋 생성 - 최신 생성형 모델 (Diffusion, Flow Matching, NeRF, 3D-GS 등)을 활용한 2D/3D 게임 애셋(캐릭터, 배경, 텍스처) 생성 파이프라인 구축 및 고도화 ㆍ 오디오/텍스트 기반 캐릭터 애니메이션 생성 - 오디오, 텍스트 등 멀티모달 입력 기반의 사실적인 3D 페이셜(Facial) 및 바디(Body) 애니메이션 자동생성 기술 R&D ㆍ 비전 기반 상황 인식 및 온디바이스 최적화 - 객체 인식(Object Detection), 시맨틱 세그멘테이션(Semantic Segmentation) 등 인식 개발 기술 및 On-device 환경 경량화/최적화","Vision/Graphics AI 담당업무 ㆍAI 기반 광고 크리에이티브 자동 생성 - 생성형 AI (Diffusion, VLM, SORA-like Models 등) 기반 게임 마케팅용 광고소재(이미지, 배너, 숏폼영상) 자동생성 및 최적화 R&D ㆍ AI 기반 2D/3D 게임 애셋 생성 - 최신 생성형 모델 (Diffusion, Flow Matching, NeRF, 3D-GS 등)을 활용한 2D/3D 게임 애셋(캐릭터, 배경, 텍스처) 생성 파이프라인 구축 및 고도화 ㆍ 오디오/텍스트 기반 캐릭터 애니메이션 생성 - 오디오, 텍스트 등 멀티모달 입력 기반의 사실적인 3D 페이셜(Facial) 및 바디(Body) 애니메이션 자동생성 기술 R&D ㆍ 비전 기반 상황 인식 및 온디바이스 최적화 - 객체 인식(Object Detection), 시맨틱 세그멘테이션(Semantic Segmentation) 등 인식 개발 기술 및 On-device 환경 경량화/최적화 자격요건 ㆍ Vision/Graphics AI 분야 연구개발 혹은 서비스 개발 경력 2년 이상 (석/박사 학위과정 기간 경력 포함) ㆍ PyTorch/TensorFlow 등 딥러닝 프레임워크 기반 모델 개발 및 구현에 능숙하신 분 ㆍ 복잡한 문제를 논리적으로 정의하고, 주도적으로 해결책을 탐색하며 연구하는 분 ㆍ 최신 AI 기술의 상용화 및 서비스 적용에 대한 관심과 열정이 있으신 분","ㆍ 관련 분야 석사 이상 학위 소지자 - Computer Vision/Graphics/Image Processing - Machine Learning/Pattern Recognition ㆍ Generative AI/Multi-modal AI/3D Human Avatar 관련 R&D 및 서비스 개발 경험 ㆍ CVPR/ICCV/ECCV/SIGGRAPH/NeurlPS 등 Top-tier 학회 논문 발표 경력 ㆍ 언리얼(Unreal), 유니티(Unity) 등 게임 엔진 활용 경험 기타사항 ㆍ",,,회사 내규에 따름,,유선 온라인 게임 소프트웨어 개발 및 공급업
250,[㈜한국숙련도평가원] 데이터엔지니어링 분야 모집,(재)여성기업종합지원센터,,2-10,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48462664?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=225&sc=630,48462664,"] 컨설팅부문 AI 팀 - 문서 요약 , 자동 분석 , 지식 검색 , 챗봇 등 AI 응용 서비스 기획 / 개발 -","] - 유관경력 2-10 년 보유자 - Python 기반 개발 역량 + 웹 (React, Vue 등 ) 또는 백엔드 (FastAPI, Flask 등 ) 경험 - ML 또는 LLM 기술 활용 경험 (API 활용 , 간단한 튜닝 등 포함 ) - 직접 프로그래밍을 통해 앱 / 서비스를 구현해 본 경험 - REST API 개발 / 연동 및 간단한 서비스 프로토타입 개발 가능 - 문제 정의부터 구현까지 빠르게 반복하며 개선하는 민첩한 문제 해결력 [",] - AI/ML 기술 기반 SaaS 또는 제품 개발 /PoC 수행 경험 - 멀티모달 AI( 텍스트 + 이미지 / 음성 등 ) 적용 경험 -,"] - 1 차 서류 심사 - 온라인 인성검사 - 2 차 실무 / 임원 면접 실무 면접 시 직접 수행하거나 관여한 적이 있는 분석 /AI 프로젝트에 대한 Case 발표 및 질의응답 진행 ( 지원자의 문제 정의 , 접근 방법 , 기술적 구현 , 성과 및 개선 관점에 대한 논리적 설명 역량 평가 ) [ 지원방법 ] - EY Careers 홈페이지에 접속하신 후 , 자사양식 입사지원서 작성하시어","연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 휴무·휴가·행사 주5일제, 연차제도 편의·여가·건강 사내 동호회, 휴양시설 복리후생 더보기 이",회사 내규에 따름,,회계·세무·법무
251,항공우주 무인기 AI 전문인력 상시모집,"대한항공
한진그룹",,상시,대학원(석사)이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/48359125?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=237&sc=630,48359125,"ㆍ 생산라인에서 수집되는 대규모 영상 데이터를 활용하여 불량 검출, 분석을 통한 적기에 출하 및 생산 공정 최적화 ㆍ범용적인 처리가 가능한 VLM 개발 및 고도화, 그리고 서비스 적용을 통해 생산성을 향상시키고 중장기적으로 스마트 팩토리 시스템 구축 ㆍ멀티 에이전트, Agentic AI 기반 Vision AI 시스템 구축 및 고도화","《 CDO/AI/빅데이터그룹 》 비전AI기술개발 담당업무 ㆍ 생산라인에서 수집되는 대규모 영상 데이터를 활용하여 불량 검출, 분석을 통한 적기에 출하 및 생산 공정 최적화 ㆍ범용적인 처리가 가능한 VLM 개발 및 고도화, 그리고 서비스 적용을 통해 생산성을 향상시키고 중장기적으로 스마트 팩토리 시스템 구축 ㆍ멀티 에이전트, Agentic AI 기반 Vision AI 시스템 구축 및 고도화 자격요건 ㆍ전공 : 전자공학, 컴퓨터공학, 산업공학 등 AI, Vision 관련 전공 ㆍ Vision AI 관련 석사 이상(박사","ㆍ Classification/Object Detection/Segmentation 등 Vision Deep Learning 전문 지식/기술 보유 ㆍOpenCV 등 Conventioinal Computer Vision 역량, 딥러닝 프레임워크(Pytorch, Tensorflow, Keras) 및 S/W 개발(Python, C++) 고급 역량 보유 ㆍ제조 이미지 분석 및 이상감지 분석 프로젝트 유경험자, Robot Vision 및 Camera Geometric 관련 프로젝트 유경험자 ㆍEdge 또는 Cloud 기반 Vision AI System Architecture 설계 유경험자 ㆍVLM, Generative AI 등의 거대 모델 학습/고도화 유경험자 ㆍAgentic AI 기반 시스템 설계/운영 및 고도화 유경험자 ㆍ프로젝트 PM, PL 유경험자",,,회사 내규에 따름,,축전지 제조업
252,[전액국비] 취업연계 첨단기술 교육생 모집(반도체/AI/응용SW/로봇/스마트제조/IoT),대한상공회의소,부산 남구 신선로 365  33호관 인적자원개발센터 303호,신입·경력,대졸이상,연수생/교육생,https://www.jobkorea.co.kr/Recruit/GI_Read/48368620?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=249&sc=630,48368620,,"상세내용 모집인원 빅데이터 기반 AI 개발 전문가 2026. 02. 02 ~ 07. 30 (120일 960시간) 미래의 데이터 중심 사회에서 차별화된 AI 전문가로 도약할 수 있는 기회 교육내용 Python, SQL, Java, Spring Boot, 데이터 분석/처리/시각화, 머신러닝, 딥러닝, 미니프로젝트 및 파이널프로젝트","우대전공 외국어계열, 이공계열, 경영학",,학교 기숙사 및 원룸 월세지원 훈련수당 및 식비지원 (매월30만원) 교재 및 프로젝트 개발비용 및 교육비 전액지원 야간 강의실 개방 회식비 지원 및 간식 제공 Mini프로젝트 및 파일롯 프로젝트를 통한 포트폴리오 완성으로 취업경쟁력 강화! 【교육과정 로드맵】 이론 ⇒ 실무교육 ⇒ 실무프로젝트 ⇒ 포트폴리오 완성 ⇒ 이력서/자소서/면접 클리닉⇒ 우수,회사 내규에 따름,"C, C#, C++, JAVA, Javascript, Jquery, JSP, Oracle, Python, React, Spring, Spring Boot, SQL",기타 공학 연구개발업
253,AI 개발 RM 경력직 수시채용,신한DS,,사원,대학원(석사)이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/48467474?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=256&sc=630,48467474,,"Pack선행개발 이런 일을 해요 ㆍ셀 타입 별로 성능/안전성 최적화를 위한 Pack/Module을 고민하고 설계해요. 또 차세대 기술을 고안 및 검증하기 위한 개발 업무를 수행해요. ㆍ 기계적 물성/구조에 대한 개발 업무 수행을 바탕으로, 신규 소재 발굴 및 검증, TR(TP) 검증을 위한 하드웨어 관점에서의 시험 및 검증을 진행해요. ㆍ 배터리 구조 및 열유동,공정 파라미터 및 워크플로우, 스웰링 현상 등에 대한 검증과 디지털트윈을 위해 모델링을 하고 시뮬레이션 가상 업무를 수행해요. ㆍ 글로벌 엔지니어 및 커뮤니케이터로써 국내외 다양한 고객사들과 함께 소통하고 협업해요. 필수사항 ㆍ국내/외 고객사와 원활한 소통을 위한 커뮤니케이션 역량, 문제 해결을 가지고 있는 인재를 찾고 있어요 ㆍ 해외 고객사와의 미팅 및 커뮤니케이션을 위한 영어를 포함한 글로벌 어학 능력을 갖추고 있으면 좋아요. ㆍ 업무 특성 상, 배터리에 대한 원리, 공정에 대한 이해와 기계/화학 분야와 관련된 전공 지식을 갖춘 분이면 좋습니다. 이렇게 성장할 수 있어요 ㆍ다양한 관점에서 Pack/Module에 대해 끊임없이 함께 연구하고 개발하며 커리어 비전을 만들어 갈 수 있어요. ㆍ Pack/Module을 포함한 배터리 분야 전반에서 최고 역량을 가진 핵심 엔지니어 ㆍ 글로벌 커뮤니케이션 역량을 갖춘 소통 전문가 ㆍ 문제의 발견부터 솔루션 제공까지, 문제 해결 역량을 갖춘 전문가",,,,회사 내규에 따름,,축전지 제조업
