채용제목,회사,근무지,경력,학력,고용형태,상세url,스킬_old,스킬_new,상세게시글id,주요업무,자격요건,우대사항,채용절차,급여,업종,복지 및 혜택
(재)씨젠의료재단 네트워크운영 / 엔드포인트보안 전문인력채용,(재)씨젠의료재단,서울 동대문구 답십리로 288,경력,초대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48484657?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=50&sc=630,,,48484657.0,,,,,회사 내규에 따름,,
AIR 부문 AI 전문 Engineer 채용 (경력),메가존클라우드㈜,경기 과천시 과천대로7길 74,신입·경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48508143?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=51&sc=630,,,48508143.0,,,"기본우대 장애인, 영어가능자, 취업보호대상자, 보훈대상자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
2026년 미국 Battery Tech Conference 채용전형 모집,LG에너지솔루션,대전 유성구 문지로 188,신입·경력,대학원(석사)이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48467357?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=52&sc=630,,,48467357.0,,,,,회사 내규에 따름,,
[도이치모터스㈜] AX실 경력 채용,도이치모터스㈜,"서울 동대문구 답십리동 530-19 도이치모터스빌딩, 12층",신입·경력,대졸이상,"정규직 (수습 6개월) , 계약직 (근무기간 12개월, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48465310?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=53&sc=630,redash,redash,48465310.0,,,"기본우대 국가유공자, 장애인, 취업보호대상자, 보훈대상자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
AI Platform 엔지니어 모집 공고,인포그랩 유한회사,"경기 성남시 분당구 백현로101번길 17  511호, 512호",경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48452408?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=55&sc=630,,,48452408.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI DevOps PM(컨설턴트) 모집 공고,인포그랩 유한회사,"경기 성남시 분당구 백현로101번길 17  511호, 512호",경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48452222?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=56&sc=630,,,48452222.0,,,,,회사 내규에 따름 (면접 후 결정),,
"[비비디글로벌] Java, React.js 개발자 모집(경력)",비비디글로벌㈜,서울 서초구 방배천로8길 5  2층,경력,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48289449?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=57&sc=630,,,48289449.0,,,,,회사 내규에 따름 (면접 후 결정),,
"[정규직] 밥게이트 AI 번역 엔진 IT 기획자 (LLM, AI Agent)",㈜밥게이트,서울 금천구 두산로 70  A동 609호,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48414777?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=58&sc=630,,,48414777.0,,,,,회사 내규에 따름 (면접 후 결정),,
"AI 대화 분석 및 작성 (태국어) / 전공무관, 국적무관",㈜다이얼로그디자인에이전시,서울 송파구 송파대로 201  A 1014호,신입·경력,대졸이상,계약직 (근무기간 5개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48430567?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=59&sc=630,,,48430567.0,,,"기본우대 영어가능자, 컴퓨터활용능력 우수자, 엑셀 고급능력 보유자, 문서작성 우수자 외국어 [] 우대전공 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,월급 250~280만원 (면접 후 결정),,
"AI 대화 분석 및 작성 (베트남어) / 전공무관, 국적무관",㈜다이얼로그디자인에이전시,서울 송파구 송파대로 201  A 1014호,신입·경력,대졸이상,계약직 (근무기간 5개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48430520?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=60&sc=630,,,48430520.0,,,"기본우대 영어가능자, 컴퓨터활용능력 우수자, 엑셀 고급능력 보유자, 문서작성 우수자 외국어 [] 우대전공 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,월급 250~280만원 (면접 후 결정),,
(병역특례) 증권 AI Agent 엔지니어,㈜씽크풀,서울 영등포구 국제금융로 70  17층,경력,대학원(석사)이상,"정규직 , 병역특례 (전문연구요원) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48419334?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=61&sc=630,,,48419334.0,,,,,회사 내규에 따름,,
AI 대화 경험 디자이너 (한국어-US영어 Bilingual) / 유사 경력 종사자,㈜다이얼로그디자인에이전시,서울 송파구 송파대로 201  A 1014호,신입·경력,대졸이상,계약직 (협의) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48407315?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=62&sc=630,,,48407315.0,,,"기본우대 영어능통자(원어민수준), 영어권 거주자, 문서작성 우수자, 장기근무 가능자 우대전공",,"연봉 3,500~4,200만원 (면접 후 결정)",,
DevSecOps AI 개발자 모집,㈜에이디알에프코리아,서울 송파구 법원로8길 8  1314호,경력,대졸이상,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48464300?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=63&sc=630,"LLM, OpenAPI/Swaffer","LLM, OpenAPI/Swaffer",48464300.0,,"경력 경력 (3년이상) 학력 대졸이상 스킬 , LLM, OpenAPI/Swaffer 핵심역량 계획성 , 성실성 , 꼼꼼함 , 적응성 , 창의성 , 협동심 , 메타인지 , 성장지향성","기본우대 국가유공자, 공모전 입상자, 학점우수(대졸 4.0이상), 영어가능자, 봉사활동 경험, 인근거주자, 컴퓨터활용능력 우수자, 차량소지자, 운전가능자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 리더쉽 소유자, 유관업무 경력자(3년), 기숙사 생활가능자, 즉시출근 가능자, 장기근무 가능자 이",,"연봉 5,000만원 이상 (면접 후 결정)",,
[IT기업] LLM 엔지니어,㈜인포유앤컴퍼니,서울 성동구 성수일로 111  311호,경력3년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48375086?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=64&sc=630,,,48375086.0,,,,,회사 내규에 따름 (면접 후 결정),,
AE팀 Account Executive,팔레트㈜,서울 강남구,경력3년~10년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48517677?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=65&sc=630,,,48517677.0,,,,,,,
"(주)영유진 - 사무, 기획/지원 (경력무관)",㈜영유진,대구 군위군 군위읍 중앙길 124,경력무관,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48491076?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=66&sc=630,,,48491076.0,,,"기본우대 영어가능자, 중국어가능자, 통계분석·리서치 능숙자, 코딩, AI 에이전트 활용 복리후생 기타 복리후생 점심 제공, 경조휴가 및 경조금, 원거리 교통비 지원, 군위 비연고 주거비 지원, 퇴직연금(DC형,신한), 생일 선물 및 반차 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,""
AI 서비스 기획 채용,다큐브㈜,서울 영등포구 영신로 220  802호,경력무관,학력무관,"정규직 (수습 3개월) , 계약직 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48330133?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=67&sc=630,,,48330133.0,,,,,회사 내규에 따름 (면접 후 결정),,
GIS 데이터 라벨러 채용,코드비전㈜,서울 서대문구 연세로 50  공학원 250B호,경력무관,대졸이상,계약직 (근무기간 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48519047?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=68&sc=630,,,48519047.0,,,,,월급 230~230만원,,
[주식회사 로비고스] Backend PM & DevOps 엔지니어 경력 채용,㈜로비고스,서울 금천구 가산디지털1로 204  반도아이비밸리 814호,경력3년,대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48209069?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=69&sc=630,K8S,K8S,48209069.0,,,,,회사 내규에 따름 (면접 후 결정),,
데이터 분석 (Data Scientist) 채용,㈜에이브랩스,서울 용산구 한강대로30길 25  1101호,신입·경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48282538?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=70&sc=630,,,48282538.0,,,,,"연봉 3,800~9,000만원 (면접 후 결정)",,
AI 서비스 플랫폼 백앤드 개발자,㈜지산소프트,서울 구로구 디지털로34길 43  701호,신입·경력,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48440660?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=71&sc=630,,,48440660.0,,,,,"연봉 3,500~8,000만원 (면접 후 결정)",,
백엔드 개발자 채용,키키코드㈜(KeykyCode,서울 성북구 화랑로 211  208호,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48488927?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=72&sc=630,,,48488927.0,,,자격증 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요,,회사 내규에 따름 (면접 후 결정),,
AI Agent Engineer (전문연구요원 가능),㈜히츠,서울 강남구 테헤란로4길 28  8층,경력무관,대학원(박사)이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48454208?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=73&sc=630,,,48454208.0,,,,,회사 내규에 따름,,
"생성형AI(LLM, RAG) R&D(석사이상)",㈜비전스페이스,서울 강남구 테헤란로 217  3층,경력1년~10년,대학원(석사이상),정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48436528?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=74&sc=630,,,48436528.0,,,,,,,
DevOps 엔지니어 (FDE) 모집 공고,인포그랩 유한회사,"경기 성남시 분당구 백현로101번길 17  511호, 512호",경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48452312?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=75&sc=630,,,48452312.0,,,자격증 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요,,회사 내규에 따름 (면접 후 결정),,
"마케팅, 기획 및 BM 설계 채용 공고",플로트㈜,서울 성동구 성수일로12가길 12-7  2층,경력,학력무관,"정규직 (협의) , 계약직 (협의, 정규직 전환 가능) , 인턴 (협의, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48404828?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=76&sc=630,,,48404828.0,,,,,"연봉 4,000만원 이상 (면접 후 결정)",,
연구행정 담당자 채용(경력 3년 이상),코드비전㈜,서울 서대문구 연세로 50  연세대학교 공학원 242호,경력3년,대졸이상,계약직 (근무기간 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48360301?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=77&sc=630,,,48360301.0,,,,,월급 300~300만원,,
DE Language DATA Reviewer / 유사 경력 종사자 (독일어필수),㈜다이얼로그디자인에이전시,서울 송파구 송파대로 201  A 1014호,신입·경력\,대졸이상,"정규직 (협의) , 계약직 (협의, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48456191?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=78&sc=630,,,48456191.0,,,"기본우대 독일어가능자, 문서작성 우수자, 즉시출근 가능자, 장기근무 가능자 외국어 [ ] 3점(급) 이상 [ ] 5점(급) 이상 우대전공 이",,회사 내규에 따름 (면접 후 결정),,
AI 영상 자동화 SaaS 플랫폼 풀스택 개발자 (MVP 중심),㈜와이디엠씨엔,경기 화성시 병점노을5로 20  골든스퀘어 2차 4층 YDMCN,경력,학력무관,"정규직 , 계약직 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48493778?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=79&sc=630,,,48493778.0,,,,,"연봉 6,000~8,500만원",,
JH솔루션(주) 개발본부 프론트엔드 개발자 채용,㈜제이에이치솔루션,서울 금천구 가산디지털2로 135  1동 1701~1703호,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48493142?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=80&sc=630,,,48493142.0,,,,,회사 내규에 따름 (면접 후 결정),,
[대화형AI기업] LLM 엔지니어 (경력),㈜라피치,서울 강남구 도곡로8길 6  5층,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48413417?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=81&sc=630,,,48413417.0,,,우대전공 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요,,회사 내규에 따름 (면접 후 결정),,
JH솔루션(주) 개발본부 백엔드 개발자 채용,㈜제이에이치솔루션,서울 금천구 가산디지털2로 135  1동 1701~1703호,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48493202?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=82&sc=630,,,48493202.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI 영상 자동화 SaaS 플랫폼 풀스택 개발자 (MVP 중심),야타,경기 화성시 병점노을5로 20  골든스퀘어,경력,학력무관,"정규직 , 계약직 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48493686?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=83&sc=630,,,48493686.0,,,,,"연봉 6,000~8,500만원",,
[대화형AI기업] LLM 엔지니어 (전문연구요원 / 병역특례),㈜라피치,서울 강남구 도곡로8길 6  5층,경력무관,대학원(석사)이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48413376?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=84&sc=630,,,48413376.0,,,우대전공 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요,,회사 내규에 따름 (면접 후 결정),,
로봇산업 생성형 AI LLM RAG R&D개발,㈜비전스페이스,서울 강남구 테헤란로 217  3층,경력1년~10년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48436522?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=85&sc=630,,,48436522.0,,,,,,,
[카카오 계열사] AI 워크플로우 기획 (Agent Maker),㈜보이스루,서울 강남구 강남대로 374  10층,경력무관,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48221545?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=86&sc=630,,,48221545.0,,,,,회사 내규에 따름 (면접 후 결정),,
[경력] AI 서비스기획자 (컨설턴트),㈜리본홀딩스,서울 송파구 신천동 7-29 향군타워 9층,경력,학력무관,"정규직 (수습 3개월) , 계약직 (근무기간 6개월, 정규직 전환 가능) , 프리랜서 (근무기간 6개월, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48526288?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=87&sc=630,,,48526288.0,,,"기본우대 컴퓨터활용능력 우수자, 문서작성 우수자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,"연봉 5,000만원 이상 (면접 후 결정)",,
[아이브릭스] AI 웹 서비스 분야 경력 채용 공고,㈜아이브릭스,경기 성남시 분당구 판교로255번길 74  5층,경력1년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48486366?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=88&sc=630,,,48486366.0,,,,,회사 내규에 따름,,
"장소 방문 AI 비서 프론트엔드 개발자 모집 (주 8시간 내 파트타임, 재택)",같이가요,서울 광진구 긴고랑로14길 64  지층,경력무관,학력무관,계약직 (근무기간 6개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48478933?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=89&sc=630,,,48478933.0,,,,,"시급 11,000원",,
(주)테라시스디앤씨와 함께 할 웹/SNS 제작물 디자인 직원을 모집합니다.,㈜테라시스디앤씨,경기 남양주시 순화궁로 249  N동 11층 1101~1108호,신입·경력,초대졸이상,정규직 (수습 2개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48487113?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=90&sc=630,,,48487113.0,,,,,회사 내규에 따름 (면접 후 결정),,
2026 GrowMarketing 마케팅.기획.전시/컨퍼런스.VIP이벤트.프로모션.연출,㈜그로우마케팅,서울 강남구 봉은사로37길 35  동궁빌딩 2층,신입·경력,대졸이상,정규직 (수습 2개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48361226?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=91&sc=630,,,48361226.0,,,"기본우대 컴퓨터활용능력 우수자, 운전가능자, 유관업무 경험자(인턴·알바), 문서작성 우수자, 즉시출근 가능자, 장기근무 가능자 이",,"연봉 2,800~4,000만원 (면접 후 결정)",,
풀스택 개발자 채용,코드비전㈜,서울 서대문구 연세로 50  연세대학교 공학원 242호,신입·경력,대졸이상,"인턴 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48508557?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=92&sc=630,,,48508557.0,,,,,회사 내규에 따름 (면접 후 결정),,
[모비데이즈] AI/AX 개발자,㈜모비데이즈,서울 강남구 언주로 417  모비빌딩,신입,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48463130?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=93&sc=630,,,48463130.0,,,,,회사 내규에 따름 (면접 후 결정),,
석박사 인공지능 개발자,코드비전㈜,서울 서대문구 연세로 50  연세대학교 공학원 242호,신입·경력,대학원(석사)이상,"인턴 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48508532?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=94&sc=630,,,48508532.0,,,,,회사 내규에 따름 (면접 후 결정),,
