채용제목,회사,근무지,경력,학력,고용형태,상세url,스킬_old,스킬_new,상세게시글id,주요업무,자격요건,우대사항,채용절차,급여,업종,복지 및 혜택
[IT기업] 벡엔드 엔지니어(AI Domain),㈜인포유앤컴퍼니,서울 성동구 성수일로 111  311호,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48375266?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=95&sc=630,,,48375266.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI 마케팅 솔루션 세일즈 및 기획 담당자,팡고지와이㈜,서울 강남구,경력무관,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48423039?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=96&sc=630,,,48423039.0,,,,,,,
2026년 상반기 (주)싸이웍스 신입/경력자 공개 채용,㈜싸이웍스,서울 서초구 바우뫼로37길 11,경력무관,초대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48343110?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=97&sc=630,,,48343110.0,,,"기본우대 관련 학과 전공자, 관련 자격증 보유자, 유관업무 경력자 복리후생 기타 복리후생 명절선물, 생일선물, 야근식대 지원, 야근교통비 지원, 월1회 조기퇴근, 웰컴키트, 인재추천금 제도 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,"기타 복리후생 명절선물, 생일선물, 야근식대 지원, 야근교통비 지원, 월1회 조기퇴근, 웰컴키트, 인재추천금 제도 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요"
"웹 기반 SaaS 솔루션, AI 연구개발자 채용",㈜에이아이지먼트,"서울 강남구 압구정로10길 27  신영빌딩 5,6층",경력,대졸이상,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48316010?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=98&sc=630,"Fastapi, Langchain, RAG","Fastapi, Langchain, RAG",48316010.0,,"경력 경력 (4년이상) 학력 대졸이상 스킬 , Fastapi, Langchain, RAG 핵심역량 계획성 , 성실성 , 협동심 , 메타인지 , 성장지향성 , 성취지향성 , 꼼꼼함 , 스트레스관리 , 윤리의식 , 자존감 , 적응성 , 창의성","기본우대 관련 자격증 보유자, 유관업무 경력자, 즉시출근 가능자 우대전공 이",,회사 내규에 따름 (면접 후 결정),,
프론트엔드 & 백엔드 개발자 채용,코드비전㈜,서울 서대문구 연세로 50  연세대학교 공학원 242호,신입·경력,대졸이상,"인턴 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48508542?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=99&sc=630,,,48508542.0,,,,,회사 내규에 따름,,
AI Machine Learning 엔지니어,㈜메타넷엑스,서울 서초구,경력2년~10년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48379371?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=100&sc=630,,,48379371.0,,,,,,,
웹디자이너,에스씨301의원,서울 강남구,경력0년~10년,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48410150?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=101&sc=630,,,48410150.0,,,,,,,
언리얼엔진 시뮬레이션 SW 개발,㈜비전스페이스,서울 강남구 테헤란로 217  3층,경력1년~10년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48436512?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=102&sc=630,,,48436512.0,,,,,,,
풀스택 특급 개발자 채용 Spring · React.js · AI 자동화,톤즈의원,인천 부평구 경원대로 1395  11층 톤즈 오피스,경력,학력무관,"정규직 , 계약직 (정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48393440?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=103&sc=630,,,48393440.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI/블록체인 전문 기업 `오퍼스엠` 경영지원 총괄 (신입/경력),오퍼스엠,경기 성남시 분당구 황새울로351번길 10  5층 504호,경력무관,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48509621?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=104&sc=630,,,48509621.0,,,"기본우대 프리젠테이션 능력우수자, 문서작성 우수자, 회계프로그램 능숙자, 유관업무 경력자, 즉시출근 가능자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
AI Product Data Manager,Upstage,서울 용인시 수지구,경력3년~10년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48278805?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=105&sc=630,,,48278805.0,,,,,,,
온프레미스 AI 플랫폼 개발 연구소 슈퍼스타를 모십니다,두네모㈜,서울 강동구 천호대로 1095  복합상가 3층 301호,경력,대졸이상,정규직 (수습 1개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48388513?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=106&sc=630,nodejs,nodejs,48388513.0,,,"기본우대 관련 자격증 보유자, 유관업무 경력자(3년) 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,"연봉 4,000만원 이상 (면접 후 결정)",,
머신러닝 엔지니어(경력),㈜휴레이포지티브,"대한민국 서울특별시 서초구 강남대로 311, 드림플러스 19층",경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48173753?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=107&sc=630,,,48173753.0,,,,,회사 내규에 따름,,
AI Agent 개발자,핀다,서울 강남구,경력5년~8년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48400937?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=108&sc=630,,,48400937.0,,,,,,,
`올림픽 국가대표급 몰입` AI와 함께 압축 성장할 Product Engineer,㈜탄소중립연구원,서울 관악구 관악로17길 9  라온2차 3층,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48494594?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=109&sc=630,,,48494594.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI Search & RAG Engineer,㈜에스투더블유,경기 성남시 분당구,경력5년~15년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48396172?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=110&sc=630,,,48396172.0,,,,,,,
[Hyconsoft] Agentic AI · Robotics 석/박사급 연구원 채용 (정규직),㈜하이콘소프트,서울 강서구 마곡동 757-5 프라이빗타워타워1차 1304호,경력무관,대학원(석사)이상,"정규직 (수습 3개월) , 프리랜서 (근무기간 0개월)",https://www.jobkorea.co.kr/Recruit/GI_Read/48440825?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=111&sc=630,,,48440825.0,,,"기본우대 영어가능자, 인근거주자, 석사학위 수여자, 박사학위 수여자, 유관업무 경력자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[비에이블컴퍼니 AI 기반 콘텐츠 자동화 플랫폼] 프론트엔드 엔지니어 채용,비에이블컴퍼니,서울 강남구 테헤란로 123  6층,경력2년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48431349?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=112&sc=630,,,48431349.0,,,기본우대 유관업무 경력자(2년) 이,,회사 내규에 따름 (면접 후 결정),,
"[정규직, 계약직, 인턴][신입, 경력]AI 개발자/ML 엔지니어 채용",㈜랩큐(LabQ),서울 영등포구 양평로21길 26  2301호,경력무관,초대졸이상,"정규직 (수습 3개월) , 계약직 (근무기간 3개월, 정규직 전환 가능) , 인턴 (근무기간 3개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48367214?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=113&sc=630,LLM,LLM,48367214.0,,,,,회사 내규에 따름,,
식품제조 AX 플랫폼 프로젝트 기술영업 신입 모집(가산),㈜아이제라,서울 금천구 가산디지털1로 171  704호,경력무관,초대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48355315?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=114&sc=630,,,48355315.0,,,"기본우대 영어가능자, 인근거주자, 차량소지자, 운전가능자, 통계분석·리서치 능숙자, 문서작성 우수자, 리더쉽 소유자, 유관업무 경력자(2년) 이",,회사 내규에 따름 (면접 후 결정),,
식품제조 AX플랫폼 프로젝트 기술영업 경력자 정규 모집(가산/3년- 10년),㈜아이제라,경기 오산시 독산성로 425  623호,경력,초대졸이상,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48347977?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=115&sc=630,,,48347977.0,,,"기본우대 영어가능자, 인근거주자, 차량소지자, 운전가능자, 통계분석·리서치 능숙자, 문서작성 우수자, 리더쉽 소유자, 유관업무 경력자(2년) 이",,회사 내규에 따름 (면접 후 결정),,
UX/UI 기획&설계,㈜인터엑스,서울 금천구,경력무관,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48410263?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=116&sc=630,,,48410263.0,,,,,,,
[클루커스 부산캠퍼스] GEN AI Engineer 모집,㈜클루커스 부산캠퍼스,부산 해운대구 센텀중앙로 55,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48499838?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=117&sc=630,,,48499838.0,,,,,회사 내규에 따름 (면접 후 결정),,
안드로이드 및 iOS 모바일 개발자,㈜예진,서울 송파구 삼학사로1길 54  2층,경력,대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48506020?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=118&sc=630,,,48506020.0,,,"기본우대 영어가능자, 고용촉진지원금 대상자, 석사학위 수여자, 박사학위 수여자, 관련 학과 전공자, 관련 자격증 보유자, 즉시출근 가능자, 키오스크·POS·IoT 기기와 연동 경험자, 온디바이스 sLM 또는 LLM 서빙 경험 (Whisper, Piper, Core ML 등), Jetpack Compose 또는 SwiftUI 실무 경험자, OpenAI / Claude / Gemini / Grok API 연동 경험자, 스타트업에서 빠르게 MVP 런칭 경험자 이",,회사 내규에 따름 (면접 후 결정),,""
AI 서비스 개발자 채용,엑스솔콥코리아㈜,서울 서초구 강남대로 275  2층,경력,대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48429987?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=120&sc=630,,,48429987.0,,,기본우대 영어능통자(원어민수준) 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요,,회사 내규에 따름 (면접 후 결정),,
[핀테크/금융/AI/정규] AI / LLM 엔지니어 채용,Fount,서울 중구 남대문로10길 9  14층,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48358145?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=121&sc=630,,,48358145.0,,,,,회사 내규에 따름 (면접 후 결정),,
데이터엔지니어(경력직) 채용,㈜페블러스,세종 집현중앙7로 6  B 618호,경력,대졸이상,"계약직 (근무기간 12개월, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48446396?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=122&sc=630,,,48446396.0,,,"기본우대 석사학위 수여자, 유관업무 경력자(5년) 이",,회사 내규에 따름 (면접 후 결정),,
Python Backend /AI Application Developer 모집,아이피아,"서울 강남구 역삼로17길 51  B2~2F, 4F",경력,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48365675?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=123&sc=630,"Claude, LLaVA","Claude, LLaVA",48365675.0,,,,,회사 내규에 따름 (면접 후 결정),,
[병역특례] 뉴로코어 전문연구요원 채용(개발자),㈜뉴로코어,서울 강남구 테헤란로 322  동관 1101호,신입·경력,대학원(석사)이상,병역특례 (전문연구요원),https://www.jobkorea.co.kr/Recruit/GI_Read/48439660?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=124&sc=630,"Reinforcement Learning, Large Language Model(LLM), Data Pipeline / ETL, Version Control (Git), LLM + Retrieval (RAG)","Reinforcement Learning, Large Language Model(LLM), Data Pipeline / ETL, Version Control (Git), LLM + Retrieval (RAG)",48439660.0,,"경력 신입·경력 학력 대학원(석사)이상 (졸업예정자 가능) 스킬 , Reinforcement Learning, Large Language Model(LLM), Data Pipeline / ETL, Version Control (Git), LLM + Retrieval (RAG) 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,,회사 내규에 따름,,
[계약직/프리랜서] UI/UX 기획자,㈜피엑스디,서울 중구 퇴계로 126,경력,학력무관,"계약직 (근무기간 5개월) , 프리랜서 (근무기간 5개월)",https://www.jobkorea.co.kr/Recruit/GI_Read/48440585?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=125&sc=630,,,48440585.0,,,,,회사 내규에 따름 (면접 후 결정),,
[AX]제안서 편집 디자이너(Figma) 채용,㈜에이엑스,서울 서초구 양재대로12길 56  서초 AICT 우수기업센터 A동 405호,경력,학력무관,"정규직 (수습 2개월) , 계약직 (근무기간 2개월, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48212611?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=126&sc=630,,,48212611.0,,,,,회사 내규에 따름 (면접 후 결정),,
Application Security Engineer,㈜라포랩스(Rapport Labs Inc.)),대한민국 서울특별시 강남구 테헤란로98길 8,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48452486?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=127&sc=630,,,48452486.0,,,,,회사 내규에 따름,,
웹/AI 개발자 (풀스택 리드급 3년 이상),㈜첫장컴퍼니,서울 중구 을지로 55  5층,경력,초대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48385838?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=128&sc=630,,,48385838.0,,,,,"연봉 4,500~5,500만원 (면접 후 결정)",,
기술지원실 개발팀 팀장 채용,㈜TMD교육그룹,서울 서초구 서초중앙로8길 26  TMD빌딩,경력,학력무관,"정규직 (수습 6개월) , 계약직 (근무기간 6개월, 정규직 전환 가능) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48495119?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=129&sc=630,,,48495119.0,,"경력 경력 (5년이상) 학력 학력무관 스킬 복리후생 기타 복리후생 매일아침 모닝바 (토스트, 우유 제공), 연말송년회, 워크샵, 월2회 패밀리데이 조기퇴근 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,,회사 내규에 따름 (면접 후 결정),,""
디지털 퍼포먼스 마케터 (AM/팀 리드),클라우드링크㈜,서울 금천구 가산디지털1로 128  1205호,경력,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48376082?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=130&sc=630,,,48376082.0,,,"기본우대 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 문서작성 우수자 이",,"연봉 3,500만원 이상 (면접 후 결정)",,
윈도우 보안 어플리케이션 개발(8년 이상),체크멀,경기 용인시 수지구 신수로 767  U-TOWER A동 1308호,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48243576?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=131&sc=630,윈도우 시스템 프로그래밍,윈도우 시스템 프로그래밍,48243576.0,,,,,"연봉 6,000~12,000만원 (면접 후 결정)",,
리눅스 보안 어플리케이션 개발(8년 이상),체크멀,경기 용인시 수지구 신수로 767  U-TOWER A동 1308호,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48243490?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=132&sc=630,시스템프로그래밍,시스템프로그래밍,48243490.0,,,,,"연봉 6,000~12,000만원 (면접 후 결정)",,
[유메이커스] 기술지원실 개발팀 인력(팀장) 채용,㈜유메이커스,서울 서초구 효령로53길 45  2층 201-26호,경력,대졸이상,"정규직 (수습 6개월) , 계약직 (근무기간 6개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48419786?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=133&sc=630,,,48419786.0,,,,,회사 내규에 따름,,
(주)퓨멕스 AI혁신 서비스 기획 및 업무 자동화 담당자 모집합니다,㈜퓨멕스(PUMEX),경기 고양시 일산동구 설문동 796-5 퓨멕스빌딩,경력무관,초대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48485416?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=134&sc=630,,,48485416.0,,,"기본우대 인근거주자, 컴퓨터활용능력 우수자, 유관업무 경험자(인턴·알바), 유관업무 경력자, 즉시출근 가능자, 장기근무 가능자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[보이스온] 오디오 라이브 크리에이터 모집,㈜소다라이브,서울 강남구 테헤란로 410  11층 A15호,경력무관,학력무관,프리랜서 (근무기간 1년),https://www.jobkorea.co.kr/Recruit/GI_Read/48340265?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=135&sc=630,,,48340265.0,,,"기본우대 유관업무 경험자(인턴·알바), 외국인 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[AX] AI 정부지원사업 총괄 & R&D 전략기획자,㈜에이엑스,서울 서초구 양재대로12길 56  서초 AICT 우수기업센터 A동 405호,경력,학력무관,"정규직 (수습 2개월) , 계약직 (근무기간 2개월, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48418695?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=136&sc=630,,,48418695.0,,,,,회사 내규에 따름 (면접 후 결정),,
[차봇 모빌리티] PM(서비스 기획자) 모집,차봇 모빌리티㈜,서울 성동구 왕십리로 125  11층,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48377135?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=137&sc=630,,,48377135.0,,,,,회사 내규에 따름 (면접 후 결정),,
현장 관리 Project Manager 경력직 채용,㈜코너스,서울 강남구 테헤란로70길 14-8  A동 10층,경력4년,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48362821?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=138&sc=630,,,48362821.0,,,"기본우대 운전가능자, 야간근무 가능자, 유관업무 경력자(4년), 즉시출근 가능자, 장기근무 가능자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,"연봉 5,500~6,000만원 (면접 후 결정)",,
멀티 로봇 스케줄링 엔지니어 채용(경력),㈜리보틱스,경기 시흥시 배곧2로 82,경력,대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48385794?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=139&sc=630,,,48385794.0,,,,,회사 내규에 따름 (면접 후 결정),,
(주)케듀올 AI 개발자,㈜케듀올(Keduall Corp),경기 김포시 태장로 755  316호,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48374139?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=140&sc=630,,,48374139.0,,,,,회사 내규에 따름 (면접 후 결정),,
"생성형 AI 관제 플랫폼 개발(DT, 로봇)",㈜비전스페이스,서울 강남구 테헤란로 217  3층,경력,대졸이상,"정규직 (수습 3개월) , 계약직 (협의, 정규직 전환 가능) , 프리랜서 (협의, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48297749?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=141&sc=630,"빅데이터, 인공지능, LLM 스마트픽 AD","빅데이터, 인공지능, LLM 스마트픽 AD",48297749.0,,,,,회사 내규에 따름 (면접 후 결정),,
[독파모]AI리서치엔지니어-LLM포스트트레이닝,Upstage,서울 용인시 수지구,경력1년~10년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48279054?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=143&sc=630,,,48279054.0,,,,,,,
AI Agent 개발 테크 리더,㈜메타넷엑스,서울 서초구,경력5년~10년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48379367?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=144&sc=630,,,48379367.0,,,,,,,
[시리즈B유치] AI 웹서비스 풀스택 엔지니어,㈜소테리아,경기 성남시 수정구,경력10년~20년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48457919?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=145&sc=630,,,48457919.0,,,,,,,
AI 운영·자동화 담당자 (AI Operations & Automation Lead),뉴셀렉트㈜,대한민국 서울특별시 성동구 성수이로 127,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48415464?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=146&sc=630,,,48415464.0,,,,,회사 내규에 따름,,
심전도 Interface & Connectivity 개발자/엔지니어 채용,㈜알피,경기 성남시 분당구 성남대로331번길 8  14층,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48482054?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=147&sc=630,"DICOM, HL7","DICOM, HL7",48482054.0,,,,,회사 내규에 따름 (면접 후 결정),,
멀티 로봇 트래픽제어 엔지니어(경력),㈜리보틱스,경기 시흥시 배곧2로 82,경력,대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48385845?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=148&sc=630,,,48385845.0,,,,,회사 내규에 따름 (면접 후 결정),,
(주)빅스페이먼츠 프론트엔드 개발자 부문 상시 채용,㈜빅스페이먼츠,경기 성남시 분당구 판교로 253  603호 빅스페이먼츠,경력무관,대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48272635?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=149&sc=630,"erd, KMP/CMP","erd, KMP/CMP",48272635.0,,,"기본우대 유관업무 경험자(인턴·알바), 관련 학과 전공자 우대전공 이",,"연봉 3,200만원 이상 (면접 후 결정)",,
[AI 헬스케어] 전략기획 실장 (CEO Staff Head) 채용,㈜바이오컴,서울 강서구 마곡중앙로 59-17  3층,경력,대졸이상,"정규직 (수습 3개월) , 계약직 (정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48434441?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=150&sc=630,,,48434441.0,,,"기본우대 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 유관업무 경력자(3년) 이",,회사 내규에 따름 (면접 후 결정),,
기획 / 프로젝트 매니저 채용,㈜오투플러스,경기 성남시 수정구 금토로 32  KT 판교빌딩,경력무관,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48382122?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=151&sc=630,,,48382122.0,,,,,회사 내규에 따름 (면접 후 결정),,
ai 개발 경력자,㈜넥서스커뮤니티,서울 중구,경력3년~10년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48479812?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=152&sc=630,,,48479812.0,,,,,,,
